lot_number,timestamp,test_type,measurement_value,pass_fail,operator_id,station_id
LOT341,2024-10-01 00:00:00,BATTERY_LIFE_HUMID,163.3,PASS,OP005,QC-ST-03
LOT341,2024-10-01 00:30:00,MOISTURE_THRESHOLD,67.3,FAIL,OP005,QC-ST-05
LOT341,2024-10-01 01:00:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-04
LOT341,2024-10-01 01:30:00,BATTERY_LIFE_HUMID,66.9,FAIL,OP003,QC-ST-03
LOT341,2024-10-01 02:00:00,BATTERY_LIFE,163.8,PASS,OP005,QC-ST-03
LOT341,2024-10-01 02:30:00,BATTERY_LIFE,166.9,PASS,OP003,QC-ST-04
LOT341,2024-10-01 03:00:00,BATTERY_LIFE_HUMID,43.7,FAIL,OP006,QC-ST-05
LOT341,2024-10-01 03:30:00,BATTERY_LIFE_HUMID,31.6,FAIL,OP004,QC-ST-03
LOT341,2024-10-01 04:00:00,BATTERY_LIFE,164.5,PASS,OP004,QC-ST-03
LOT341,2024-10-01 04:30:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-02
LOT341,2024-10-01 05:00:00,MOISTURE_THRESHOLD,87.3,PASS,OP002,QC-ST-02
LOT341,2024-10-01 05:30:00,MOISTURE_THRESHOLD,87.2,PASS,OP003,QC-ST-05
LOT341,2024-10-01 06:00:00,THERMAL_CYCLING,92.2,PASS,OP001,QC-ST-04
LOT341,2024-10-01 06:30:00,THERMAL_CYCLING,92.1,PASS,OP006,QC-ST-04
LOT341,2024-10-01 07:00:00,MOISTURE_THRESHOLD,74.8,FAIL,OP003,QC-ST-04
LOT341,2024-10-01 07:30:00,MOISTURE_THRESHOLD,72.6,FAIL,OP002,QC-ST-04
LOT341,2024-10-01 08:00:00,BATTERY_LIFE_HUMID,169.4,PASS,OP006,QC-ST-03
LOT341,2024-10-01 08:30:00,MOISTURE_THRESHOLD,74.6,FAIL,OP006,QC-ST-05
LOT341,2024-10-01 09:00:00,BATTERY_LIFE,169.0,PASS,OP004,QC-ST-05
LOT341,2024-10-01 09:30:00,MOISTURE_THRESHOLD,55.6,FAIL,OP003,QC-ST-02
LOT341,2024-10-02 00:00:00,MOISTURE_THRESHOLD,73.2,FAIL,OP004,QC-ST-05
LOT341,2024-10-02 00:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-01
LOT341,2024-10-02 01:00:00,BATTERY_LIFE,173.4,PASS,OP001,QC-ST-05
LOT341,2024-10-02 01:30:00,MOISTURE_THRESHOLD,54.0,FAIL,OP003,QC-ST-05
LOT341,2024-10-02 02:00:00,MOISTURE_THRESHOLD,71.6,FAIL,OP005,QC-ST-05
LOT341,2024-10-02 02:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-04
LOT341,2024-10-02 03:00:00,MOISTURE_THRESHOLD,62.1,FAIL,OP002,QC-ST-04
LOT341,2024-10-02 03:30:00,THERMAL_CYCLING,85.9,PASS,OP004,QC-ST-02
LOT341,2024-10-02 04:00:00,BATTERY_LIFE_HUMID,171.0,PASS,OP006,QC-ST-01
LOT341,2024-10-02 04:30:00,BATTERY_LIFE,169.2,PASS,OP005,QC-ST-01
LOT341,2024-10-02 05:00:00,BATTERY_LIFE_HUMID,113.6,FAIL,OP005,QC-ST-03
LOT341,2024-10-02 05:30:00,BATTERY_LIFE,163.3,PASS,OP003,QC-ST-01
LOT341,2024-10-02 06:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-03
LOT341,2024-10-02 06:30:00,BATTERY_LIFE,173.9,PASS,OP005,QC-ST-04
